Standard,ng/rxn,fg/rxn,Log10(fg/rxn),Dre_16S,Dre_H2B,Dpo_COI,Dpo_tr
Dpo_Std1,10,10000000,7,18.846,14.166,20.826,13.669
Dpo_Std1,10,10000000,7,18.841,14.219,20.916,13.842
Dpo_Std1,10,10000000,7,18.745,14.186,20.836,14.011
Dpo_Std2,1,1000000,6,22.241,17.779,24.117,17.088
Dpo_Std2,1,1000000,6,22.064,17.779,24.156,17.254
Dpo_Std2,1,1000000,6,22.161,17.764,24.003,17.252
Dpo_Std3,0.1,100000,5,25.514,21.239,27.521,20.546
Dpo_Std3,0.1,100000,5,25.551,21.282,27.643,20.617
Dpo_Std3,0.1,100000,5,25.731,21.382,27.508,20.721
Dpo_Std4,0.01,10000,4,28.674,24.852,30.980,24.205
Dpo_Std4,0.01,10000,4,29.242,24.835,30.962,24.208
Dpo_Std4,0.01,10000,4,28.935,24.886,30.921,24.397
Dpo_Std5,0.001,1000,3,32.445,28.350,36.489,27.309
Dpo_Std5,0.001,1000,3,33.658,28.478,34.296,27.507
Dpo_Std5,0.001,1000,3,33.510,28.505,35.032,27.885
Dpo_Std6,0.0001,100,2,Und,32.577,Und,32.216
Dpo_Std6,0.0001,100,2,Und,32.454,Und,31.760
Dpo_Std6,0.0001,100,2,Und,32.020,Und,32.756
Dpo_Std7,0.00001,10,1,Und,Und,Und,31.936
Dpo_Std7,0.00001,10,1,Und,35.547,Und,33.421
Dpo_Std7,0.00001,10,1,Und,36.648,Und,Und
